,Disease,Diets
0,Fungal infection,Antifungal Diet
1,Fungal infection,Probiotics
2,Fungal infection,Garlic
3,Fungal infection,Coconut oil
4,Fungal infection,Turmeric
5,Allergy,Elimination Diet
6,Allergy,Omega-3-rich foods
7,Allergy,Vitamin C-rich foods
8,Allergy,Quercetin-rich foods
9,Allergy,Probiotics
10,GERD,Low-Acid Diet
11,GERD,Fiber-rich foods
12,GERD,Ginger
13,GERD,Licorice
14,GERD,Aloe vera juice
15,Chronic cholestasis,Low-Fat Diet
16,Chronic cholestasis,High-Fiber Diet
17,Chronic cholestasis,Lean proteins
18,Chronic cholestasis,Whole grains
19,Chronic cholestasis,Fresh fruits and vegetables
20,Drug Reaction,Antihistamine Diet
21,Drug Reaction,Omega-3-rich foods
22,Drug Reaction,Vitamin C-rich foods
23,Drug Reaction,Quercetin-rich foods
24,Drug Reaction,Probiotics
25,Peptic ulcer disease,Low-Acid Diet
26,Peptic ulcer disease,Fiber-rich foods
27,Peptic ulcer disease,Ginger
28,Peptic ulcer disease,Licorice
29,Peptic ulcer disease,Aloe vera juice
30,AIDS,Balanced Diet
31,AIDS,Protein-rich foods
32,AIDS,Fruits and vegetables
33,AIDS,Whole grains
34,AIDS,Healthy fats
35,Diabetes,Low-Glycemic Diet
36,Diabetes,Fiber-rich foods
37,Diabetes,Lean proteins
38,Diabetes,Healthy fats
39,Diabetes,Low-fat dairy
40,Gastroenteritis,Bland Diet
41,Gastroenteritis,Bananas
42,Gastroenteritis,Rice
43,Gastroenteritis,Applesauce
44,Gastroenteritis,Toast
45,Bronchial Asthma,Anti-Inflammatory Diet
46,Bronchial Asthma,Omega-3-rich foods
47,Bronchial Asthma,Fruits and vegetables
48,Bronchial Asthma,Whole grains
49,Bronchial Asthma,Lean proteins
50,Hypertension,DASH Diet
51,Hypertension,Low-sodium foods
52,Hypertension,Fruits and vegetables
53,Hypertension,Whole grains
54,Hypertension,Lean proteins
55,Migraine,Migraine Diet
56,Migraine,Low-Tyramine Diet
57,Migraine,Caffeine withdrawal
58,Migraine,Hydration
59,Migraine,Magnesium-rich foods
60,Cervical spondylosis,Arthritis Diet
61,Cervical spondylosis,Anti-Inflammatory Diet
62,Cervical spondylosis,Omega-3-rich foods
63,Cervical spondylosis,Fruits and vegetables
64,Cervical spondylosis,Whole grains
65,Paralysis (brain hemorrhage),Heart-Healthy Diet
66,Paralysis (brain hemorrhage),Low-sodium foods
67,Paralysis (brain hemorrhage),Fruits and vegetables
68,Paralysis (brain hemorrhage),Whole grains
69,Paralysis (brain hemorrhage),Lean proteins
70,Jaundice,Liver-Healthy Diet
71,Jaundice,Low-fat Diet
72,Jaundice,Fruits and vegetables
73,Jaundice,Whole grains
74,Jaundice,Lean proteins
75,Malaria,Malaria Diet
76,Malaria,Hydration
77,Malaria,High-Calorie Diet
78,Malaria,Soft and bland foods
79,Malaria,Oral rehydration solutions
80,Chicken pox,Chicken Pox Diet
81,Chicken pox,High-Calorie Diet
